gene	control_1_rpkm	control_2_rpkm	control_3_rpkm	nq_1_rpkm	nq_2_rpkm	nq_2_rpkm	control_avg_rpkm	nq_avg_rpkm	total_avg_rpkm	logfc	pvalue	DEGs
rpl24	22.454	23.241	23.126	21.232	20.266	20.701	22.9403333333	20.733	21.8366666667	-0.15	0.0090010151016519	Non DEG
cep97	4.364	4.841	4.695	4.38	3.949	4.734	4.63333333333	4.35433333333	4.49383333333	-0.09	0.245116456796964	Non DEG
nfkbiz	2.363	2.028	2.121	2.102	1.869	2.206	2.17066666667	2.059	2.11483333333	-0.08	0.409310025395368	Non DEG
eed	3.845	4.004	3.795	3.561	3.139	3.561	3.88133333333	3.42033333333	3.65083333333	-0.18	0.0121767165261004	Non DEG
hikeshi	3.553	3.63	3.378	5.415	4.136	4.453	3.52033333333	4.668	4.09416666667	0.4	2.15647550721976e-05	Non DEG
tmem39a	3.844	2.853	3.004	3.821	3.64	4.051	3.23366666667	3.83733333333	3.5355	0.25	0.00154296696730861	Non DEG
ildr1a	3.335	3.154	3.027	2.471	2.681	2.709	3.172	2.62033333333	2.89616666667	-0.28	0.000998930055121268	Non DEG
LOC100332762	0.141	0.159	0.122	0.14	0.117	0.107	0.140666666667	0.121333333333	0.131	-0.22	0.266083569962009	Non DEG
si:zfos-1011f11.1	4.631	4.844	4.764	3.923	3.73	3.647	4.74633333333	3.76666666667	4.2565	-0.33	3.29070216457118e-06	Non DEG
zgc:163025	0.021	0	0.005	0.015	0.035	0.025	0.00866666666667	0.025	0.0168333333333	1.5	0.0244677813125838	Non DEG
f7	0.136	0.115	0.088	0.161	0.07	0.104	0.113	0.111666666667	0.112333333333	-0.02	0.950947020784427	Non DEG
f7i	0.028	0.103	0.035	0.104	0.067	0.118	0.0553333333333	0.0963333333333	0.0758333333333	0.78	0.0314925908478245	Non DEG
f10	0.152	0.152	0.164	0.157	0.09	0.123	0.156	0.123333333333	0.139666666667	-0.33	0.230101280122794	Non DEG
prozb	0.308	0.212	0.242	0.155	0.257	0.312	0.254	0.241333333333	0.247666666667	-0.08	0.676779893689235	Non DEG
pcid2	2.71	2.523	2.391	2.89	2.765	2.472	2.54133333333	2.709	2.62516666667	0.09	0.271713573608531	Non DEG
cul4a	3.024	3.083	2.833	2.706	3.04	3.076	2.98	2.94066666667	2.96033333333	-0.02	0.792431449934318	Non DEG
zgc:64072	1.196	1.017	1.066	1.295	1.307	1.414	1.093	1.33866666667	1.21583333333	0.29	0.000446731195387427	Non DEG
grtp1a	0.305	0.159	0.36	0.489	0.39	0.475	0.274666666667	0.451333333333	0.363	0.72	2.29214780232188e-05	Non DEG
adprhl1	0	0	0	0.041	0.096	0.078	0.0	0.0716666666667	0.0358333333333	6.81	4.13926736467347e-14	Strongly upregulated
dcun1d2b	0.926	1.011	0.832	1.064	0.925	1.142	0.923	1.04366666667	0.983333333333	0.18	0.110537837394025	Non DEG
tmco3	0.62	0.738	0.657	0.785	0.786	0.689	0.671666666667	0.753333333333	0.7125	0.17	0.107776453642174	Non DEG
tfdp1b	2.312	2.34	2.451	2.002	2.412	2.216	2.36766666667	2.21	2.28883333333	-0.1	0.137035617713372	Non DEG
grk1a	0.156	0.097	0.231	0.256	0.348	0.311	0.161333333333	0.305	0.233166666667	0.92	6.28558907556149e-08	Non DEG
cenpe	8.018	8.181	8.546	8.263	8.06	8.378	8.24833333333	8.23366666667	8.241	0	0.95941013370877	Non DEG
tmem255b	0.135	0.169	0.12	0.167	0.074	0.103	0.141333333333	0.114666666667	0.128	-0.3	0.144695610745774	Non DEG
gas6	0.404	0.36	0.406	0.366	0.397	0.399	0.39	0.387333333333	0.388666666667	-0.01	0.904927244773457	Non DEG
pros1	0.965	1.101	0.823	1.038	0.879	0.884	0.963	0.933666666667	0.948333333333	-0.04	0.651608541136812	Non DEG
rasa3	0.623	0.64	0.619	0.668	0.694	0.686	0.627333333333	0.682666666667	0.655	0.12	0.0642424801782851	Non DEG
tpp2	2.514	2.586	2.682	2.79	2.563	2.635	2.594	2.66266666667	2.62833333333	0.04	0.539276869658027	Non DEG
LOC100149425	0.055	0.073	0.083	0.136	0.113	0.136	0.0703333333333	0.128333333333	0.0993333333333	0.86	1.10160515703247e-05	Non DEG
zgc:92518	0.018	0.009	0.009	0.054	0.009	0.037	0.012	0.0333333333333	0.0226666666667	1.36	0.0699876156589937	Non DEG
ercc5	0.861	0.923	0.933	0.968	1.016	1.046	0.905666666667	1.01	0.957833333333	0.16	0.0409169054579662	Non DEG
blzf1	5.417	5.071	5.359	5.803	5.762	6.014	5.28233333333	5.85966666667	5.571	0.15	0.0126179759794749	Non DEG
trmt10c	1.538	1.209	1.378	1.499	1.26	1.224	1.375	1.32766666667	1.35133333333	-0.05	0.642905823257142	Non DEG
txnl4b	0.443	0.342	0.47	0.699	0.475	0.502	0.418333333333	0.558666666667	0.4885	0.41	0.00247663015101719	Non DEG
si:ch73-41e3.7	0.129	0.075	0.112	0.127	0.082	0.178	0.105333333333	0.129	0.117166666667	0.29	0.361560661126029	Non DEG
mrpl16	2.324	2.178	2.037	1.977	2.012	1.834	2.17966666667	1.941	2.06033333333	-0.17	0.0545376771139057	Non DEG
cenpq	0.751	0.693	0.755	0.651	0.612	0.584	0.733	0.615666666667	0.674333333333	-0.25	0.00586307403787996	Non DEG
LOC101885604	1.442	1.381	1.578	1.329	1.27	1.228	1.467	1.27566666667	1.37133333333	-0.2	0.0289533315143983	Non DEG
mrpl39	0.764	0.666	0.647	0.905	1.029	0.904	0.692333333333	0.946	0.819166666667	0.45	7.77965387748599e-06	Non DEG
jam2a	0.346	0.196	0.34	0.181	0.183	0.183	0.294	0.182333333333	0.238166666667	-0.69	6.48763939695559e-06	Non DEG
atp5j	3.99	3.497	3.525	3.132	3.305	2.941	3.67066666667	3.126	3.39833333333	-0.23	0.00591679178458649	Non DEG
appa	2.666	2.647	2.818	2.367	2.46	2.494	2.71033333333	2.44033333333	2.57533333333	-0.15	0.00750925191772052	Non DEG
cyyr1	3.772	4.052	4.229	3.456	3.543	3.622	4.01766666667	3.54033333333	3.779	-0.18	0.00435716092218266	Non DEG
adamts1	0.351	0.289	0.331	0.46	0.391	0.553	0.323666666667	0.468	0.395833333333	0.53	0.000190034949006194	Non DEG
adamts5	0.036	0.034	0.039	0.041	0.033	0.034	0.0363333333333	0.036	0.0361666666667	0.01	0.980802467317218	Non DEG
n6amt1	1.561	1.445	1.507	1.677	1.452	1.55	1.50433333333	1.55966666667	1.532	0.05	0.538857312053635	Non DEG
gart	4.458	3.88	4.289	4.385	4.041	4.476	4.209	4.30066666667	4.25483333333	0.03	0.567602416082933	Non DEG
LOC100332351	0.181	0.233	0.192	0.213	0.241	0.283	0.202	0.245666666667	0.223833333333	0.28	0.153729001038837	Non DEG
donson	0.214	0.236	0.201	0.27	0.277	0.267	0.217	0.271333333333	0.244166666667	0.32	7.31672764467751e-05	Non DEG
runx1	0.018	0.018	0.039	0.012	0.027	0.019	0.025	0.0193333333333	0.0221666666667	-0.37	0.175585075011174	Non DEG
urp2	0.106	0.109	0.055	0.059	0.078	0.06	0.09	0.0656666666667	0.0778333333333	-0.45	0.0709792861859472	Non DEG
LOC100333907	0.242	0.198	0.268	0.295	0.305	0.265	0.236	0.288333333333	0.262166666667	0.29	0.053751206430888	Non DEG
atp1a1a.4	0.059	0.083	0.079	0.113	0.093	0.081	0.0736666666667	0.0956666666667	0.0846666666667	0.37	0.0943198148091546	Non DEG
atp1a1a.1	14.494	14.063	14.631	15.506	16.261	16.656	14.396	16.141	15.2685	0.16	0.00172859108529938	Non DEG
atp1a1a.2	0.037	0.039	0	0.025	0.032	0.051	0.0253333333333	0.036	0.0306666666667	0.47	0.374254037423998	Non DEG
atp1a1a.3	0.216	0.232	0.18	0.249	0.256	0.186	0.209333333333	0.230333333333	0.219833333333	0.14	0.435091067200668	Non DEG
atp1a1a.5	0.185	0.233	0.152	0.254	0.265	0.346	0.19	0.288333333333	0.239166666667	0.61	0.000165871136443883	Non DEG
si:ch211-132g1.3	0.725	0.818	0.66	0.978	0.899	0.961	0.734333333333	0.946	0.840166666667	0.37	6.74117267498035e-07	Non DEG
LOC103911757	0.057	0.049	0.064	0.021	0.048	0.007	0.0566666666667	0.0253333333333	0.041	-1.12	0.0241967805202882	Non DEG
si:ch211-132g1.6	0.012	0.023	0.036	0.023	0	0.023	0.0236666666667	0.0153333333333	0.0195	-0.56	0.511758762056361	Non DEG
si:ch211-132g1.4	0.013	0.02	0.026	0.012	0.026	0	0.0196666666667	0.0126666666667	0.0161666666667	-0.58	0.422004551494046	Non DEG
si:ch211-132g1.1	0	0.005	0.014	0	0.009	0.009	0.00633333333333	0.006	0.00616666666667	-0.02	0.983907701856328	Non DEG
si:ch211-132g1.7	0.063	0.048	0.067	0.049	0.067	0.061	0.0593333333333	0.059	0.0591666666667	-0.01	0.922593918694719	Non DEG
slc5a3a	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
oxgr1a.1	0	0	0	0	0	0.027	0.0	0.009	0.0045	2.65	0.09768586952133	Non DEG
oxgr1a.3	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
oxgr1a.2	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
mbnl2	0.343	0.335	0.343	0.492	0.492	0.5	0.340333333333	0.494666666667	0.4175	0.54	8.45489730209638e-18	Non DEG
rap2ab	0.07	0.041	0.05	0.027	0.077	0.067	0.0536666666667	0.057	0.0553333333333	0.09	0.718384692023004	Non DEG
kpnb3	11.177	10.884	11.026	10.439	10.005	10.189	11.029	10.211	10.62	-0.11	0.0322903631813858	Non DEG
farp1	1.49	1.439	1.456	1.225	1.143	1.184	1.46166666667	1.184	1.32283333333	-0.3	1.6382098321808e-08	Non DEG
si:ch211-235f1.3	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
ggact.3	1.094	1.613	1.184	0.912	0.842	0.784	1.297	0.846	1.0715	-0.61	0.000242263816534838	Non DEG
ggact.2	1.916	2.523	2.292	2.449	2.453	2.848	2.24366666667	2.58333333333	2.4135	0.21	0.0565368919659639	Non DEG
ggact.1	0.028	0	0	0	0.042	0.014	0.00933333333333	0.0186666666667	0.014	0.86	0.420050621745894	Non DEG
gpc6a	0.132	0.136	0.139	0.281	0.282	0.239	0.135666666667	0.267333333333	0.2015	0.98	7.33523291168143e-59	Non DEG
gpc5a	1.776	1.674	1.277	1.364	1.613	1.509	1.57566666667	1.49533333333	1.5355	-0.08	0.152422051173018	Non DEG
slitrk6	0.136	0.138	0.156	0.107	0.101	0.133	0.143333333333	0.113666666667	0.1285	-0.34	0.00241300303159571	Non DEG
slitrk1	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
spry2	9.168	9.503	9.145	7.749	8.248	7.771	9.272	7.92266666667	8.59733333333	-0.23	0.000601031405754892	Non DEG
ndfip2	1.635	1.658	1.648	1.438	1.667	1.393	1.647	1.49933333333	1.57316666667	-0.14	0.022514713466783	Non DEG
tuba8l2	4.422	4.292	3.994	4.149	4.148	4.086	4.236	4.12766666667	4.18183333333	-0.04	0.532886750817293	Non DEG
