gene	sample1	sample2	sample1_rpkm	sample2_rpkm	rpkm_ratio	LogFC	DEGs
hsp70.3	81	57363	3.631644582	2570.632055	0.001412744	9.467284393	Strongly upregulated
hsp70.1	205	83253	3.204122349	1300.60334	0.002463566	8.66503608	Strongly upregulated
hsp90aa1.2	608	59341	6.522355421	636.2759161	0.010250829	6.608115645	Strongly upregulated
LOC103909982	83	1353	2.792442679	45.49814744	0.061374865	4.026208232	Strongly upregulated
pdcd4b.2	550	7951	2.711635596	39.18141651	0.069207186	3.852934336	Strongly upregulated
dnaja	840	11908	13.54715668	191.9541192	0.070574972	3.824699528	Strongly upregulated
pdcd4b	475	5046	2.30366151	24.46031498	0.094179552	3.408442327	Strongly upregulated
si.dkey.204l11.1	346	3290	2.976435456	28.28824541	0.105218101	3.248545181	Strongly upregulated
bbc3	115	1057	1.047632602	9.624449418	0.108851172	3.19957115	Strongly upregulated
adgre10	127	1006	2.000583452	15.83947105	0.126303678	2.985031443	Upregulated
si.ch211.39i2.2	345	2729	17.60961268	139.2271672	0.126481153	2.983005667	Upregulated
dnajb1b	2077	15849	75.84999371	578.5097203	0.131112739	2.931120234	Upregulated
ahsa1a	97	737	2.011430483	15.27532727	0.131678389	2.924909507	Upregulated
bag2	29	218	1.127191947	8.469272676	0.133091942	2.909504869	Upregulated
zgc.153911	33	233	1.909934637	13.47876894	0.141699486	2.819093565	Upregulated
LOC101882154	35	222	6.143248269	38.94688602	0.157734004	2.664434389	Upregulated
uchl1	93	578	3.277701368	20.36123023	0.16097757	2.635068411	Upregulated
dnajb2	313	1904	1.408081773	8.561310059	0.164470363	2.604100456	Upregulated
chordc1a	494	2955	4.60028354	27.50457123	0.167255236	2.579876723	Upregulated
si.rp71.77l1.2	97	554	3.135808451	17.90100027	0.175175041	2.513130864	Upregulated
si.ch211.226h8.8	42	235	5.536999579	30.96583568	0.178809952	2.483501064	Upregulated
c13h10orf71	160	888	1.821225237	10.1029077	0.180267433	2.471789311	Upregulated
si.dkey.204l11.1.2	75	410	4.01481731	21.93704488	0.183015412	2.449962949	Upregulated
cbx7a	249	1307	4.421037967	23.19477839	0.190604881	2.391343033	Upregulated
fosab	61	320	4.342513552	22.76937283	0.190717311	2.390492297	Upregulated
casp8	132	691	1.824132337	9.544434481	0.191120002	2.387449321	Upregulated
hspa4a	4769	22495	21.25390106	100.2044647	0.21210533	2.237147219	Upregulated
zgc.66313	329	1516	2.127543072	9.798766461	0.217123561	2.203411804	Upregulated
creld1	109	488	1.506014383	6.739259602	0.223468819	2.161854553	Upregulated
hspbp1	1024	4427	8.75828428	37.84585712	0.231419895	2.111415198	Upregulated
zgc.158464	41	176	2.160930167	9.271698188	0.233067354	2.101181154	Upregulated
hsp90aa1.1	1116	4783	15.78474408	67.61817945	0.233439353	2.098880304	Upregulated
si.dkey.264b2.3	321	1356	6.525054707	27.55044112	0.236840299	2.078013516	Upregulated
vstm4a	170	702	1.533076122	6.327638399	0.242282511	2.045237824	Upregulated
LOC108180038	107	26	4.198000768	1.019581218	4.117377503	-2.041725729	Downregulated
foxi3a	224	52	19.87875404	4.612477155	4.30977832	-2.107613664	Downregulated
