gene	sample1	sample2	sample1_rpkm	sample2_rpkm	sp1_rpkm/sp2_rpkm	log2(sp1_rpkm/sp2_rpkm)
hsp70l	15	14715	0.81958856828	803.62722661	0.00101986162382	-9.937410865961182
hsp70.3	81	57363	3.63164458234	2570.63205486	0.00141274383297	-9.467284393235017
hsp70.1	205	83253	3.20412234925	1300.60333966	0.00246356614007	-8.665036080043611
si.dkey.4p15.3	99	9879	0.929689122733	92.7268022601	0.0100261100358	-6.640094216978836
hsp90aa1.2	608	59341	6.52235542106	636.275916105	0.0102508286986	-6.608115644814366
lim2.3	4	341	0.0890992577511	7.59203525765	0.0117358856654	-6.412929468766115
bdkrb1	2	80	0.278817093417	11.1472856305	0.0250121063243	-5.321229634629304
mlf1	57	1627	0.586219325051	16.7248630732	0.0350507697722	-4.834410061249728
dnai2a	2	50	0.0397836080133	0.994108800192	0.0400193701188	-4.643157729516667
LOC101882698	3	66	0.0761244037947	1.67392627971	0.0454765569532	-4.458733158379239
rtn4rl2b	2	42	0.113184215123	2.37571806905	0.0476421072843	-4.3916189625207025
hsph1	142	2592	0.87037605271	15.8797378561	0.0548104799081	-4.189404423121885
cd247	1	17	0.105116577148	1.7861168791	0.0588520148807	-4.086764380992282
gzmk	2	33	0.0990594809999	1.63369031711	0.060635409271	-4.043695659100396
LOC103909982	83	1353	2.79244267894	45.4981474425	0.0613748654816	-4.0262082323715545
c1ql3b	1	16	0.056934830393	0.910516366032	0.0625302658107	-3.9993015397419422
si.ch73.52p7.1	1	16	0.0188758717403	0.301867767481	0.0625302658107	-3.9993015397419422
myl4	3	47	0.0841599152732	1.31786715819	0.0638606969982	-3.9689278906984233
ccl20a.4	1	15	0.0311367878076	0.466825755354	0.0666989501981	-3.906192135350461
LOC101882921	2	30	0.0416738667124	0.624805436796	0.0666989501981	-3.906192135350461
LOC110438894	1	15	0.0334940596523	0.502167718574	0.0666989501981	-3.906192135350461
pdcd4b.2	550	7951	2.71163559633	39.1814165125	0.0692071864085	-3.852934336051008
dnaja	840	11908	13.5471566843	191.954119215	0.0705749724971	-3.8246995283138556
crp3	1	14	0.0320046429571	0.447848129612	0.0714631609265	-3.8066564617995464
LOC101883854	1	14	0.0672727289348	0.941362347574	0.0714631609265	-3.8066564617995464
LOC110438973	1	14	0.0806551323851	1.12862531323	0.0714631609265	-3.8066564617995464
igsf10	3	39	0.0263712871491	0.342660798428	0.0769603271516	-3.6997412578830344
si.dkey.23f9.9	1	13	0.0776571099113	1.00905379155	0.0769603271516	-3.6997412578830344
spata18	2	25	0.0285674336527	0.356920081049	0.0800387402377	-3.643157729516667
bdkrb2	4	49	0.509041698471	6.23274258216	0.081672183916	-3.6140113838571506
b4galnt2.2	2	24	0.0265598696739	0.318564170441	0.0833736877476	-3.5842640404630988
LOC100006104	1	12	0.0322171389801	0.386418543434	0.0833736877476	-3.5842640404630983
LOC103909442	2	24	0.198445675328	2.38019548719	0.0833736877476	-3.5842640404630983
LOC108179236	1	12	0.106757857983	1.28047422235	0.0833736877476	-3.5842640404630983
LOC110440224	1	12	0.190890636927	2.28957890773	0.0833736877476	-3.5842640404630983
tlx1	7	83	0.244758891978	2.90073645749	0.0843781900096	-3.566986049031263
hspa4l	40	468	0.167409723601	1.95774572194	0.0855114746129	-3.5477381644379844
ccr12b.2	2	22	0.0904792913674	0.994790474798	0.0909531139065	-3.4587331583792396
LOC110438623	1	11	0.0484918832683	0.533152535252	0.0909531139065	-3.4587331583792396
si.ch73.290k24.6	1	11	0.0149346526905	0.164201664451	0.0909531139065	-3.4587331583792396
si.dkeyp.34c12.4	1	11	0.0499077046776	0.548719032632	0.0909531139065	-3.458733158379239
LOC101883222	3	32	0.0959935047213	1.02343511553	0.0937953987161	-3.414339039020786
pdcd4b	475	5046	2.30366151024	24.4603149791	0.0941795521525	-3.4084423274999325
itln4	1	10	0.0543431437494	0.543168406579	0.100048425297	-3.3212296346293044
itln4.2	1	10	0.060144670891	0.601155597525	0.100048425297	-3.3212296346293044
LOC110437838	1	10	0.0339552645369	0.339388295578	0.100048425297	-3.3212296346293044
LOC110438418	1	10	0.142715201042	1.42646124233	0.100048425297	-3.3212296346293044
phox2bb	1	10	0.0481195847403	0.480962939671	0.100048425297	-3.3212296346293044
